Year,NOC,Bronze,Gold,Silver,Total
1988,AHO,0,0,1,1
1988,ARG,1,0,1,2
1988,AUS,5,3,6,14
1988,AUT,0,1,0,1
1988,BEL,2,0,0,2
1988,BRA,3,1,2,6
1988,BUL,13,10,12,35
1988,CAN,5,3,2,10
1988,CHI,0,0,1,1
1988,CHN,12,5,11,28
1988,COL,1,0,0,1
1988,CRC,0,0,1,1
1988,DEN,1,2,1,4
1988,DJI,1,0,0,1
1988,ESP,2,1,1,4
1988,FIN,2,1,1,4
1988,FRA,6,6,4,16
1988,FRG,15,11,14,40
1988,GBR,9,5,10,24
1988,GDR,30,37,35,102
1988,GRE,1,0,0,1
1988,HUN,6,11,6,23
1988,INA,0,0,1,1
1988,IRI,0,0,1,1
1988,ISV,0,0,1,1
1988,ITA,4,6,4,14
1988,JAM,0,0,2,2
1988,JPN,7,4,3,14
1988,KEN,2,5,2,9
1988,KOR,11,12,10,33
1988,MAR,2,1,0,3
1988,MEX,2,0,0,2
1988,MGL,1,0,0,1
1988,NED,5,2,2,9
1988,NOR,0,2,3,5
1988,NZL,8,3,2,13
1988,PAK,1,0,0,1
1988,PER,0,0,1,1
1988,PHI,1,0,0,1
1988,POL,9,2,5,16
1988,POR,0,1,0,1
1988,ROU,6,7,11,24
1988,SEN,0,0,1,1
1988,SUI,2,0,2,4
1988,SUR,0,1,0,1
1988,SWE,7,0,4,11
1988,TCH,2,3,3,8
1988,THA,1,0,0,1
1988,TUR,0,1,1,2
1988,URS,46,54,31,131
1988,USA,27,36,31,94
1988,YUG,5,3,4,12
1992,ALG,1,1,0,2
1992,ARG,1,0,0,1
1992,AUS,11,7,9,27
1992,AUT,0,0,2,2
1992,BAH,1,0,0,1
1992,BEL,2,0,1,3
1992,BRA,0,2,1,3
1992,BUL,6,3,7,16
1992,CAN,7,7,4,18
1992,CHN,15,16,22,53
1992,COL,1,0,0,1
1992,CRO,2,0,1,3
1992,CUB,11,14,6,31
1992,DEN,4,1,1,6
1992,ESP,2,13,7,22
1992,EST,1,1,0,2
1992,ETH,2,1,0,3
1992,EUN,29,45,38,112
1992,FIN,2,1,2,5
1992,FRA,16,8,5,29
1992,GBR,12,5,3,20
1992,GER,28,33,21,82
1992,GHA,1,0,0,1
1992,GRE,0,2,0,2
1992,HUN,7,11,12,30
1992,INA,1,2,2,5
1992,IOA,2,0,1,3
1992,IRI,2,0,1,3
1992,IRL,0,1,1,2
1992,ISR,1,0,1,2
1992,ITA,8,6,5,19
1992,JAM,1,0,3,4
1992,JPN,11,3,8,22
1992,KEN,2,2,4,8
1992,KOR,11,12,5,28
1992,LAT,1,0,2,3
1992,LTU,1,1,0,2
1992,MAR,1,1,1,3
1992,MAS,1,0,0,1
1992,MEX,0,0,1,1
